
309,Michael Carter-Williams, PG,MIL/PHI,66,32.6,-3.06,0.79,-2.27,0.11
310,Jamal Crawford, SG,LAC,64,26.6,2.09,-4.38,-2.29,0.06
311,Shawne Williams, SF,DET/MIA,63,17.3,-0.64,-1.68,-2.32,0.02
312,Alexey Shved, PG,HOU/NY/PHI,42,18.3,0.63,-2.96,-2.33,0.01
313,Brandon Knight, PG,MIL/PHX,63,32.3,-0.51,-1.84,-2.35,0
314,Nate Wolters, PG,NO/MIL,21,11.8,-0.9,-1.46,-2.36,0
315,Jordan Clarkson, PG,LAL,59,25,0.63,-3,-2.37,-0.02
316,Ricky Ledo, SG,DAL/NY,17,14.4,-1.25,-1.13,-2.38,0
317,Donald Sloan, PG,IND,53,20.9,-1.11,-1.28,-2.39,-0.03
318,Francisco Garcia, SG,HOU,14,14.3,-2.11,-0.29,-2.4,-0.01
319,Thomas Robinson, PF,PHI/POR,54,14.8,-2.23,-0.18,-2.41,-0.03
320,JaMychal Green, PF,SA/MEM,24,6.8,-1.69,-0.77,-2.46,-0.01
321,Patrick Christopher, SG,UTAH,4,7.3,-1.26,-1.22,-2.48,0
322,Gal Mekel, PG,NO,4,10.8,-1.48,-1.01,-2.49,0
323,Jordan Farmar, PG,LAC,36,14.7,-1.33,-1.18,-2.51,-0.05
324,Tobias Harris, SF,ORL,68,34.8,-0.32,-2.2,-2.52,-0.25
325,Aaron Gordon, PF,ORL,47,17,-2.04,-0.48,-2.52,-0.09
326,Kyle Singler, SF,DET/OKC,80,21.8,-1.24,-1.29,-2.53,-0.2
327,Shavlik Randolph, PF,BOS/PHX,21,6,-2.58,0.02,-2.56,-0.02
328,Joe Ingles, SF,UTAH,79,21.2,-2.31,-0.28,-2.59,-0.24
329,Earl Barron, PF,PHX,16,8.9,-2.96,0.33,-2.63,-0.03
330,Justin Hamilton, C,MIA/MIN,41,17.4,-2.19,-0.44,-2.63,-0.12
331,Kevin Martin, SG,MIN,39,33.4,0.42,-3.06,-2.64,-0.24
332,Anderson Varejao, C,CLE,26,24.5,-2.11,-0.54,-2.65,-0.12
333,E'Twaun Moore, SG,CHI,56,9,-1.56,-1.11,-2.67,-0.1
334,Kalin Lucas, PG,MEM,1,6,-1.21,-1.48,-2.69,0
335,Kris Humphries, PF,WSH,64,21,-2.47,-0.24,-2.71,-0.29
336,Chris Copeland, SF,IND,50,16.6,-0.93,-1.78,-2.71,-0.18
337,Ryan Kelly, PF,LAL,52,23.7,-1.93,-0.78,-2.71,-0.27
338,Bryce Cotton, PG,UTAH,15,10.6,-0.46,-2.25,-2.71,-0.04
339,Trey Burke, PG,UTAH,76,30.1,-0.19,-2.52,-2.71,-0.5
340,Andrei Kirilenko, SF,BKN,7,5.1,-1.36,-1.36,-2.72,-0.01
341,Enes Kanter, C,OKC/UTAH,75,28.5,1.16,-3.88,-2.72,-0.49
